meshcode,option1,option2,option3,option4,option5,option6,value
53391535,14,14101,2019,12,0,0,50
53391535,14,14101,2019,12,0,1,17
53391535,14,14101,2019,12,0,2,41
53391535,14,14101,2019,12,1,0,54
53391535,14,14101,2019,12,1,2,34
53391535,14,14101,2019,12,2,0,53
53391535,14,14101,2019,12,2,1,11
53391535,14,14101,2019,12,2,2,36
53391544,14,14101,2019,12,0,0,321
53391544,14,14101,2019,12,0,1,132
53391544,14,14101,2019,12,0,2,212
53391544,14,14101,2019,12,1,0,458
53391544,14,14101,2019,12,1,1,106
53391544,14,14101,2019,12,1,2,288
53391544,14,14101,2019,12,2,0,418
53391544,14,14101,2019,12,2,1,114
53391544,14,14101,2019,12,2,2,266
53391545,14,14101,2019,12,0,0,332
53391545,14,14101,2019,12,0,1,90
53391545,14,14101,2019,12,0,2,192
53391545,14,14101,2019,12,1,0,891
53391545,14,14101,2019,12,1,1,219
53391545,14,14101,2019,12,1,2,511
53391545,14,14101,2019,12,2,0,728
53391545,14,14101,2019,12,2,1,182
53391545,14,14101,2019,12,2,2,418
53391546,14,14101,2019,12,1,0,27
53391546,14,14101,2019,12,1,1,19
53391546,14,14101,2019,12,1,2,18
53391546,14,14101,2019,12,2,0,21
53391546,14,14101,2019,12,2,1,14
53391546,14,14101,2019,12,2,2,15
53391553,14,14101,2019,12,0,0,145
53391553,14,14101,2019,12,0,1,121
53391553,14,14101,2019,12,0,2,125
53391553,14,14101,2019,12,1,0,297
53391553,14,14101,2019,12,1,1,107
53391553,14,14101,2019,12,1,2,201
53391553,14,14101,2019,12,2,0,253
53391553,14,14101,2019,12,2,1,111
53391553,14,14101,2019,12,2,2,179
53391554,14,14101,2019,12,0,0,1752
53391554,14,14101,2019,12,0,1,597
53391554,14,14101,2019,12,0,2,1189
53391554,14,14101,2019,12,1,0,3045
53391554,14,14101,2019,12,1,1,940
53391554,14,14101,2019,12,1,2,1916
53391554,14,14101,2019,12,2,0,2670
53391554,14,14101,2019,12,2,1,841
53391554,14,14101,2019,12,2,2,1705
53391555,14,14101,2019,12,0,0,154
53391555,14,14101,2019,12,0,1,43
53391555,14,14101,2019,12,0,2,104
53391555,14,14101,2019,12,1,0,1185
53391555,14,14101,2019,12,1,1,124
53391555,14,14101,2019,12,1,2,581
53391555,14,14101,2019,12,2,0,885
53391555,14,14101,2019,12,2,1,100
53391555,14,14101,2019,12,2,2,443
53391556,14,14101,2019,12,1,0,15
53391556,14,14101,2019,12,2,0,12
53391557,14,14101,2019,12,0,0,39
53391557,14,14101,2019,12,0,1,10
53391557,14,14101,2019,12,0,2,18
53391557,14,14101,2019,12,1,0,11
53391557,14,14101,2019,12,2,0,20
53391557,14,14101,2019,12,2,1,10
